date,plant_energy
2023-08-21,63377.0
2023-08-22,63022.0
2023-08-23,60818.0
2023-08-24,60150.0
2023-08-25,61885.0
2023-08-26,61060.0
2023-08-27,56102.0
2023-08-28,63609.0
2023-08-29,62006.0
2023-08-30,62699.0
2023-08-31,62793.0
2023-09-01,63359.0
2023-09-02,61832.0
2023-09-03,57918.0
2023-09-04,64899.0
2023-09-05,60217.0
2023-09-06,59069.0
2023-09-07,62227.0
2023-09-08,62144.0
2023-09-09,59110.0
2023-09-10,55038.0
2023-09-11,61010.0
2023-09-12,58469.0
2023-09-13,58566.0
2023-09-14,56678.0
2023-09-15,58388.0
2023-09-16,55645.0
2023-09-17,54030.0
2023-09-18,60310.0
2023-09-19,60114.0
2023-09-20,58061.0
2023-09-21,55180.0
2023-09-22,57065.0
2023-09-23,51961.0
2023-09-24,54952.0
2023-09-25,59745.0
2023-09-26,57769.0
2023-09-27,56052.0
2023-09-28,55108.0
2023-09-29,54845.0
2023-09-30,52876.0
2023-10-01,60874.0
2023-10-02,50371.0
2023-10-03,58480.0
2023-10-04,54858.0
2023-10-05,55125.0
2023-10-06,53707.0
2023-10-07,51101.0
2023-10-08,53103.0
2023-10-09,57367.0
2023-10-10,56415.0
2023-10-11,55920.0
2023-10-12,58750.0
2023-10-13,56208.0
2023-10-14,53435.0
2023-10-15,55468.0
2023-10-16,58244.0
2023-10-17,55761.0
2023-10-18,55555.0
2023-10-19,55538.0
2023-10-20,56160.0
2023-10-21,54088.0
2023-10-22,51628.0
2023-10-23,52033.0
2023-10-24,59636.0
2023-10-25,56022.0
2023-10-26,56632.0
2023-10-27,57474.0
2023-10-28,55753.0
2023-10-29,54238.0
2023-10-30,57198.0
2023-10-31,58624.0
2023-11-01,47967.0
2023-11-02,53668.0
2023-11-03,56463.0
2023-11-04,53110.0
2023-11-05,48756.0
2023-11-06,55321.0
2023-11-07,53685.0
2023-11-08,53762.0
2023-11-09,53332.0
2023-11-10,53216.0
2023-11-11,50405.0
2023-11-12,50350.0
2023-11-13,56969.0
2023-11-14,55681.0
2023-11-15,52740.0
2023-11-16,53113.0
2023-11-17,42220.0
2023-11-18,34874.0
2023-11-19,32605.0
2023-11-20,36545.0
2023-11-21,35799.0
2023-11-22,38760.0
2023-11-23,42557.0
2023-11-24,42169.0
2023-11-25,40723.0
2023-11-26,43075.0
2023-11-27,43924.0
2023-11-28,40555.0
2023-11-29,39868.0
2023-11-30,43678.0
2023-12-01,45826.0
2023-12-02,44511.0
2023-12-03,44817.0
2023-12-04,49915.0
2023-12-05,46745.0
2023-12-06,51873.0
2023-12-07,49735.0
2023-12-08,49648.0
2023-12-09,47909.0
2023-12-10,45177.0
2023-12-11,50002.0
2023-12-12,52879.0
2023-12-13,52210.0
2023-12-14,51964.0
2023-12-15,52085.0
2023-12-16,51562.0
2023-12-17,48086.0
2023-12-18,49272.0
2023-12-19,49331.0
2023-12-20,47319.0
2023-12-21,43665.0
2023-12-22,35625.0
2023-12-23,31473.0
2023-12-24,31946.0
2023-12-25,32237.0
2023-12-26,33730.0
2023-12-27,37174.0
2023-12-28,39080.0
2023-12-29,37715.0
2023-12-30,39260.0
2023-12-31,42938.0
2024-01-01,41868.0
2024-01-02,44227.0
2024-01-03,43854.0
2024-01-04,44095.0
2024-01-05,43502.0
2024-01-06,43245.0
2024-01-07,39878.0
2024-01-08,42557.0
2024-01-09,49061.0
2024-01-10,51154.0
2024-01-11,54585.0
2024-01-12,53915.0
2024-01-13,53171.0
2024-01-14,48998.0
2024-01-15,44005.0
2024-01-16,48226.0
2024-01-17,45314.0
2024-01-18,44121.0
2024-01-19,47041.0
2024-01-20,45817.0
2024-01-21,45751.0
2024-01-22,43270.0
2024-01-23,47522.0
2024-01-24,38168.0
2024-01-25,37588.0
2024-01-26,36184.0
2024-01-27,43362.0
2024-01-28,40060.0
2024-01-29,43983.0
2024-01-30,44767.0
2024-01-31,45490.0
2024-02-01,47024.0
2024-02-02,50487.0
2024-02-03,46996.0
2024-02-04,49172.0
2024-02-05,54350.0
2024-02-06,53619.0
2024-02-07,51548.0
2024-02-08,52024.0
2024-02-09,49475.0
2024-02-10,49110.0
2024-02-11,42271.0
2024-02-12,40198.0
2024-02-13,42143.0
2024-02-14,45487.0
2024-02-15,41530.0
2024-02-16,59324.0
2024-02-17,52878.0
2024-02-18,51082.0
2024-02-19,50301.0
2024-02-20,51967.0
2024-02-21,51540.0
2024-02-22,52547.0
2024-02-23,54502.0
2024-02-24,51088.0
2024-02-25,50065.0
2024-02-26,51866.0
2024-02-27,53755.0
2024-02-28,55599.0
2024-02-29,54287.0
2024-03-01,54244.0
2024-03-02,54090.0
2024-03-03,54349.0
2024-03-04,55263.0
2024-03-05,55601.0
2024-03-06,56992.0
2024-03-07,60738.0
2024-03-08,57639.0
2024-03-09,53990.0
2024-03-10,51139.0
2024-03-11,57741.0
2024-03-12,59438.0
2024-03-13,56857.0
2024-03-14,55661.0
2024-03-15,56094.0
2024-03-16,51440.0
2024-03-17,50488.0
2024-03-18,52867.0
2024-03-19,53834.0
2024-03-20,46486.0
2024-03-21,48146.0
2024-03-22,51814.0
2024-03-23,53357.0
2024-03-24,54640.0
2024-03-25,57294.0
2024-03-26,57674.0
2024-03-27,53855.0
2024-03-28,56241.0
2024-03-29,59477.0
2024-03-30,60402.0
2024-03-31,60126.0
2024-04-01,60389.0
2024-04-02,63922.0
2024-04-03,64298.0
2024-04-04,67156.0
2024-04-05,66630.0
2024-04-06,66747.0
2024-04-07,61516.0
2024-04-08,58233.0
2024-04-09,68761.0
2024-04-10,64830.0
2024-04-11,66927.0
2024-04-12,65682.0
2024-04-13,60404.0
2024-04-14,58930.0
2024-04-15,59031.0
2024-04-16,58089.0
2024-04-17,68408.0
2024-04-18,68828.0
2024-04-19,67349.0
2024-04-20,61915.0
2024-04-21,59942.0
2024-04-22,68015.0
2024-04-23,67711.0
2024-04-24,67484.0
2024-04-25,65028.0
2024-04-26,67136.0
2024-04-27,68533.0
2024-04-28,67073.0
2024-04-29,71375.0
2024-04-30,66991.0
2024-05-01,64476.0
2024-05-02,69163.0
2024-05-03,69745.0
2024-05-04,67793.0
2024-05-05,64931.0
2024-05-06,67591.0
2024-05-07,57290.0
2024-05-08,58880.0
2024-05-09,62576.0
2024-05-10,62658.0
2024-05-11,59467.0
2024-05-12,57922.0
2024-05-13,61540.0
2024-05-14,58150.0
2024-05-15,61045.0
2024-05-16,61865.0
2024-05-17,63435.0
2024-05-18,60106.0
2024-05-19,60411.0
2024-05-20,65527.0
2024-05-21,61971.0
2024-05-22,53460.0
2024-05-23,58151.0
2024-05-24,56923.0
2024-05-25,62221.0
2024-05-26,60040.0
2024-05-27,63165.0
2024-05-28,61752.0
2024-05-29,60302.0
2024-05-30,60535.0
2024-05-31,61697.0
2024-06-01,55003.0
2024-06-02,54814.0
2024-06-03,53593.0
2024-06-04,60167.0
2024-06-05,60656.0
2024-06-06,60284.0
2024-06-07,60285.0
2024-06-08,56406.0
2024-06-09,56032.0
2024-06-10,55865.0
2024-06-11,57668.0
2024-06-12,58176.0
2024-06-13,60319.0
2024-06-14,62091.0
2024-06-15,62888.0
2024-06-16,59555.0
2024-06-17,62875.0
2024-06-18,59817.0
2024-06-19,60984.0
2024-06-20,61133.0
2024-06-21,62734.0
2024-06-22,59901.0
2024-06-23,57345.0
2024-06-24,59139.0
2024-06-25,57409.0
2024-06-26,52243.0
2024-06-27,48867.0
2024-06-28,70918.0
2024-06-29,58475.0
2024-06-30,53119.0
2024-07-01,55298.0
2024-07-02,55058.0
2024-07-03,55267.0
2024-07-04,56838.0
2024-07-05,54557.0
2024-07-06,54642.0
2024-07-07,53802.0
2024-07-08,58595.0
2024-07-09,58624.0
2024-07-10,59731.0
2024-07-11,53142.0
2024-07-12,53186.0
2024-07-13,51733.0
2024-07-14,50615.0
2024-07-15,56242.0
2024-07-16,52897.0
2024-07-17,55120.0
2024-07-18,54389.0
2024-07-19,55528.0
2024-07-20,53712.0
2024-07-21,54080.0
2024-07-22,55655.0
2024-07-23,57802.0
2024-07-24,54645.0
2024-07-25,54741.0
2024-07-26,58047.0
2024-07-27,54655.0
2024-07-28,54567.0
